,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,First Name,Middle Name,Last Name,Title
0,1,0,3,"Braund, Mr. Owen Harris",0,22.0,1,0,A/5 21171,7.25,S,Owen,Harris,Braund, Mr
1,2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,38.0,1,0,PC 17599,71.2833,C,John,Bradley,Cumings, Mrs
2,3,1,3,"Heikkinen, Miss. Laina",1,26.0,0,0,STON/O2. 3101282,7.925,S,Laina,,Heikkinen, Miss
3,4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,35.0,1,0,113803,53.1,S,Jacques,Heath,Futrelle, Mrs
4,5,0,3,"Allen, Mr. William Henry",0,35.0,0,0,373450,8.05,S,William,Henry,Allen, Mr
5,6,0,3,"Moran, Mr. James",0,,0,0,330877,8.4583,Q,James,,Moran, Mr
6,7,0,1,"McCarthy, Mr. Timothy J",0,54.0,0,0,17463,51.8625,S,Timothy,J,McCarthy, Mr
7,8,0,3,"Palsson, Master. Gosta Leonard",0,2.0,3,1,349909,21.075,S,Gosta,Leonard,Palsson, Master
8,9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,27.0,0,2,347742,11.1333,S,Oscar,W,Johnson, Mrs
9,10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,14.0,1,0,237736,30.0708,C,Nicholas,(Adele,Nasser, Mrs
10,11,1,3,"Sandstrom, Miss. Marguerite Rut",1,4.0,1,1,PP 9549,16.7,S,Marguerite,Rut,Sandstrom, Miss
11,12,1,1,"Bonnell, Miss. Elizabeth",1,58.0,0,0,113783,26.55,S,Elizabeth,,Bonnell, Miss
12,13,0,3,"Saundercock, Mr. William Henry",0,20.0,0,0,A/5. 2151,8.05,S,William,Henry,Saundercock, Mr
13,14,0,3,"Andersson, Mr. Anders Johan",0,39.0,1,5,347082,31.275,S,Anders,Johan,Andersson, Mr
14,15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",1,14.0,0,0,350406,7.8542,S,Hulda,Amanda,Vestrom, Miss
15,16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1,55.0,0,0,248706,16.0,S,(Mary,D,Hewlett, Mrs
16,17,0,3,"Rice, Master. Eugene",0,2.0,4,1,382652,29.125,Q,Eugene,,Rice, Master
17,18,1,2,"Williams, Mr. Charles Eugene",0,,0,0,244373,13.0,S,Charles,Eugene,Williams, Mr
18,19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,31.0,1,0,345763,18.0,S,Julius,(Emelia,Vander Planke, Mrs
19,20,1,3,"Masselmani, Mrs. Fatima",1,,0,0,2649,7.225,C,Fatima,,Masselmani, Mrs
20,21,0,2,"Fynney, Mr. Joseph J",0,35.0,0,0,239865,26.0,S,Joseph,J,Fynney, Mr
21,22,1,2,"Beesley, Mr. Lawrence",0,34.0,0,0,248698,13.0,S,Lawrence,,Beesley, Mr
22,23,1,3,"McGowan, Miss. Anna ""Annie""",1,15.0,0,0,330923,8.0292,Q,Anna,"""Annie""",McGowan, Miss
23,24,1,1,"Sloper, Mr. William Thompson",0,28.0,0,0,113788,35.5,S,William,Thompson,Sloper, Mr
24,25,0,3,"Palsson, Miss. Torborg Danira",1,8.0,3,1,349909,21.075,S,Torborg,Danira,Palsson, Miss
25,26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,38.0,1,5,347077,31.3875,S,Carl,Oscar,Asplund, Mrs
26,27,0,3,"Emir, Mr. Farred Chehab",0,,0,0,2631,7.225,C,Farred,Chehab,Emir, Mr
27,28,0,1,"Fortune, Mr. Charles Alexander",0,19.0,3,2,19950,263.0,S,Charles,Alexander,Fortune, Mr
28,29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",1,,0,0,330959,7.8792,Q,Ellen,"""Nellie""",O'Dwyer, Miss
29,30,0,3,"Todoroff, Mr. Lalio",0,,0,0,349216,7.8958,S,Lalio,,Todoroff, Mr
30,31,0,1,"Uruchurtu, Don. Manuel E",0,40.0,0,0,PC 17601,27.7208,C,Manuel,E,Uruchurtu, Don
31,32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,,1,0,PC 17569,146.5208,C,William,Augustus,Spencer, Mrs
32,33,1,3,"Glynn, Miss. Mary Agatha",1,,0,0,335677,7.75,Q,Mary,Agatha,Glynn, Miss
33,34,0,2,"Wheadon, Mr. Edward H",0,66.0,0,0,C.A. 24579,10.5,S,Edward,H,Wheadon, Mr
34,35,0,1,"Meyer, Mr. Edgar Joseph",0,28.0,1,0,PC 17604,82.1708,C,Edgar,Joseph,Meyer, Mr
35,36,0,1,"Holverson, Mr. Alexander Oskar",0,42.0,1,0,113789,52.0,S,Alexander,Oskar,Holverson, Mr
36,37,1,3,"Mamee, Mr. Hanna",0,,0,0,2677,7.2292,C,Hanna,,Mamee, Mr
37,38,0,3,"Cann, Mr. Ernest Charles",0,21.0,0,0,A./5. 2152,8.05,S,Ernest,Charles,Cann, Mr
38,39,0,3,"Vander Planke, Miss. Augusta Maria",1,18.0,2,0,345764,18.0,S,Augusta,Maria,Vander Planke, Miss
39,40,1,3,"Nicola-Yarred, Miss. Jamila",1,14.0,1,0,2651,11.2417,C,Jamila,,Nicola-Yarred, Miss
40,41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,40.0,1,0,7546,9.475,S,Johan,(Johanna,Ahlin, Mrs
41,42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",1,27.0,1,0,11668,21.0,S,William,John,Turpin, Mrs
42,43,0,3,"Kraeff, Mr. Theodor",0,,0,0,349253,7.8958,C,Theodor,,Kraeff, Mr
43,44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",1,3.0,1,2,SC/Paris 2123,41.5792,C,Simonne,Marie,Laroche, Miss
44,45,1,3,"Devaney, Miss. Margaret Delia",1,19.0,0,0,330958,7.8792,Q,Margaret,Delia,Devaney, Miss
45,46,0,3,"Rogers, Mr. William John",0,,0,0,S.C./A.4. 23567,8.05,S,William,John,Rogers, Mr
46,47,0,3,"Lennon, Mr. Denis",0,,1,0,370371,15.5,Q,Denis,,Lennon, Mr
47,48,1,3,"O'Driscoll, Miss. Bridget",1,,0,0,14311,7.75,Q,Bridget,,O'Driscoll, Miss
48,49,0,3,"Samaan, Mr. Youssef",0,,2,0,2662,21.6792,C,Youssef,,Samaan, Mr
49,50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,18.0,1,0,349237,17.8,S,Josef,(Josefine,Arnold-Franchi, Mrs
50,51,0,3,"Panula, Master. Juha Niilo",0,7.0,4,1,3101295,39.6875,S,Juha,Niilo,Panula, Master
51,52,0,3,"Nosworthy, Mr. Richard Cater",0,21.0,0,0,A/4. 39886,7.8,S,Richard,Cater,Nosworthy, Mr
52,53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,49.0,1,0,PC 17572,76.7292,C,Henry,Sleeper,Harper, Mrs
53,54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,29.0,1,0,2926,26.0,S,Lizzie,(Elizabeth,Faunthorpe, Mrs
54,55,0,1,"Ostby, Mr. Engelhart Cornelius",0,65.0,0,1,113509,61.9792,C,Engelhart,Cornelius,Ostby, Mr
55,56,1,1,"Woolner, Mr. Hugh",0,,0,0,19947,35.5,S,Hugh,,Woolner, Mr
56,57,1,2,"Rugg, Miss. Emily",1,21.0,0,0,C.A. 31026,10.5,S,Emily,,Rugg, Miss
57,58,0,3,"Novel, Mr. Mansouer",0,28.5,0,0,2697,7.2292,C,Mansouer,,Novel, Mr
58,59,1,2,"West, Miss. Constance Mirium",1,5.0,1,2,C.A. 34651,27.75,S,Constance,Mirium,West, Miss
59,60,0,3,"Goodwin, Master. William Frederick",0,11.0,5,2,CA 2144,46.9,S,William,Frederick,Goodwin, Master
60,61,0,3,"Sirayanian, Mr. Orsen",0,22.0,0,0,2669,7.2292,C,Orsen,,Sirayanian, Mr
61,62,1,1,"Icard, Miss. Amelie",1,38.0,0,0,113572,80.0,,Amelie,,Icard, Miss
62,63,0,1,"Harris, Mr. Henry Birkhardt",0,45.0,1,0,36973,83.475,S,Henry,Birkhardt,Harris, Mr
63,64,0,3,"Skoog, Master. Harald",0,4.0,3,2,347088,27.9,S,Harald,,Skoog, Master
64,65,0,1,"Stewart, Mr. Albert A",0,,0,0,PC 17605,27.7208,C,Albert,A,Stewart, Mr
65,66,1,3,"Moubarek, Master. Gerios",0,,1,1,2661,15.2458,C,Gerios,,Moubarek, Master
66,67,1,2,"Nye, Mrs. (Elizabeth Ramell)",1,29.0,0,0,C.A. 29395,10.5,S,(Elizabeth,Ramell),Nye, Mrs
67,68,0,3,"Crease, Mr. Ernest James",0,19.0,0,0,S.P. 3464,8.1583,S,Ernest,James,Crease, Mr
68,69,1,3,"Andersson, Miss. Erna Alexandra",1,17.0,4,2,3101281,7.925,S,Erna,Alexandra,Andersson, Miss
